,영화제목,영화평점,영화장르,영화감독,영화배우
0,겨울왕국 2,8.68,"애니메이션,모험,코미디,가족,판타지,뮤지컬","크리스 벅,제니퍼 리","크리스틴 벨,이디나 멘젤"
1,쥬만지: 넥스트 레벨,6.08,"액션,모험",제이크 캐스단,"드웨인 존슨,잭 블랙,케빈 하트,카렌 길런"
2,포드 V 페라리,9.56,"액션,드라마",제임스 맨골드,"맷 데이먼,크리스찬 베일"
3,나이브스 아웃,9.13,"미스터리,스릴러",라이언 존슨,"다니엘 크레이그,크리스 에반스,아나 디 아르마스,제이미 리 커티스,토니 콜렛,마이클 섀넌,돈 존슨,키스 스탠필드,캐서린 랭포드,제이든 마텔,크리스토퍼 플러머"
4,감쪽같은 그녀,7.53,드라마,허인무,"나문희,김수안"
5,아내를 죽였다,5.67,"스릴러,액션",김하라,"이시언,안내상,왕지혜"
6,라스트 크리스마스,6.75,"멜로/로맨스,코미디",폴 페이그,"에밀리아 클라크,헨리 골딩"
7,카운트다운,6.85,"공포,스릴러",저스틴 덱,"엘리자베스 라일,피터 파시넬리,탈리타 베이트먼,조던 캘러웨이"
8,블랙머니,8.52,"범죄,드라마",정지영,"조진웅,이하늬"
9,윤희에게,9.18,멜로/로맨스,임대형,"김희애,김소혜,성유빈,나카무라 유코,키노 하나"
10,두 교황,8.95,드라마,페르난도 메이렐레스,"안소니 홉킨스,조나단 프라이스"
11,나를 찾아줘,7.09,스릴러,김승우,"이영애,유재명,박해준,이원근"
12,파비안느에 관한 진실,8.36,드라마,고레에다 히로카즈,"까뜨린느 드뇌브,줄리엣 비노쉬,에단 호크"
13,아스테릭스: 마법 물약의 비밀,8.62,"애니메이션,코미디,가족,판타지","알렉상드르 아스티에,루이 클리시","크리스티앙 클라비에,기욤 브리에"
14,결혼 이야기,9.11,"코미디,드라마",노아 바움백,"스칼렛 요한슨,아담 드라이버"
15,아이리시맨,8.91,"범죄,드라마,스릴러",마틴 스코세이지,"로버트 드 니로,알 파치노,조 페시"
16,대통령의 7시간,6.27,다큐멘터리,이상호,
17,러브 앳,9.27,"멜로/로맨스,코미디",위고 젤랭,"프랑수아 시빌,조세핀 자피"
18,82년생 김지영,6.69,드라마,김도영,"정유미,공유"
19,프란치스코 교황: 맨 오브 히스 워드,8.55,다큐멘터리,빔 벤더스,프란치스코
20,블랙 스완,8.69,"드라마,스릴러",대런 아로노프스키,"나탈리 포트만,뱅상 카셀,밀라 쿠니스"
21,날씨의 아이,7.88,애니메이션,신카이 마코토,"다이고 코타로,모리 나나,오구리 슌"
22,매리,6.89,"공포,스릴러",마이클 고이,"게리 올드만,에밀리 모티머"
23,속물들,8.67,드라마,"신아가,이상철","유다인,심희섭,송재림,옥자연,유재명"
24,디에고,8.75,다큐멘터리,아시프 카파디아,"디에고 마라도나,펠레,클라우디아 빌라파네"
25,이태원,9.85,다큐멘터리,강유가람,"삼숙,나키,영화"
26,드래곤 빌리지,6.33,"애니메이션,판타지,코미디","할룩 칸 디즈다로글루,버크 토카이","박상우,서반석,석승훈,이명호"
27,월성,7.52,다큐멘터리,"남태제,김성환",
28,벌새,8.90,드라마,김보라,"박지후,김새벽"
29,터미네이터: 다크 페이트,8.63,"SF,액션",팀 밀러,"맥켄지 데이비스,아놀드 슈왈제네거,린다 해밀턴,나탈리아 레이즈,가브리엘 루나"
30,굿 라이어,8.31,스릴러,빌 콘돈,"헬렌 미렌,이안 맥켈런"
31,어메이징 그레이스,8.53,다큐멘터리,"시드니 폴락,알란 엘리어트",아레사 프랭클린
32,조커,8.65,"스릴러,드라마",토드 필립스,호아킨 피닉스
33,헤로니모,9.62,다큐멘터리,전후석,"헤로니모 임,전후석"
34,극장판 타오르지마 버스터 - 블랙어썰트의 귀환,9.71,"애니메이션,코미디,액션,모험",조영광,"홍범기,안효민,안영미"
35,영화로운 나날,9.32,"멜로/로맨스,판타지,드라마",이상덕,"조현철,김아현"
36,집 이야기,9.31,드라마,박제범,"이유영,강신일"
37,산타 앤 컴퍼니,9.00,"코미디,가족",알랭 샤바,"알랭 샤바,골쉬프테 파라하니,피오 마르마이"
38,크롤,6.94,"액션,스릴러",알렉산드르 아야,"카야 스코델라리오,배리 페퍼"
39,샐린저,10.00,다큐멘터리,쉐인 샐러노,"필립 세이모어 호프만,에드워드 노튼,존 쿠삭,마틴 쉰,톰 울프,고어 비달"
40,우리를 갈라놓는 것들,8.91,다큐멘터리,임흥순,"윤수련,강나라,박세현,정정화,김동일,고계연"
41,삽질,6.46,다큐멘터리,김병기,"이명박,김종술,김병기"
42,카센타,7.24,"범죄,코미디",하윤재,"박용우,조은지"
43,디아스포라의 노래 : 아리랑로드,10.00,다큐멘터리,이규철,"조슬아,김조연,양방언"
44,"나, 다니엘 블레이크",9.28,드라마,켄 로치,"데이브 존스,헤일리 스콰이어"
45,경계선,8.32,"판타지,멜로/로맨스,스릴러",알리 아바시,"에바 멜란데르,에로 밀로노프"
46,모리스,8.83,"드라마,멜로/로맨스",제임스 아이보리,"휴 그랜트,제임스 윌비"
47,10년,7.83,드라마,"하야카와 치에,키노시타 유스케,츠노 메구미,후지무라 아키요,이시카와 케이","스기사키 하나,쿠니무라 준,이케와키 치즈루,타이가,카와구치 사토루"
48,보리밭을 흔드는 바람,8.46,"전쟁,드라마",켄 로치,킬리언 머피
49,신의 한 수: 귀수편,7.87,"범죄,액션",리건,"권상우,김희원,김성균"
50,교회오빠,9.27,다큐멘터리,이호경,"이관희,오은주,이소연"
51,삼촌,8.55,"미스터리,스릴러",김형진,"정예진,강신효"
52,메기,8.30,"드라마,미스터리,코미디",이옥섭,"이주영,문소리,구교환,천우희"
53,코끼리는 그곳에 있어,9.09,드라마,후 보,"펑유창,왕위원,장 위,리총시"
54,어제 일은 모두 괜찮아,9.22,드라마,이성한,"김재철,윤찬영,손상연,김민주,김진영"
55,라스트 씬,7.75,다큐멘터리,박배일,
56,라 파미에,0.00,"드라마,코미디",장 폴 루브,"루디빈 사니에,호세 가르시아,장 폴 루브"
57,위!,7.59,드라마,르네 엘러,"에메 클레어스,폴린 케슬런,로라 드로소풀로스,타이멘 고바에트"
58,타이페이 스토리,8.17,드라마,에드워드 양,"허우 샤오시엔,채금"
59,앵커,9.36,드라마,최정민,박수연
60,녹차의 중력,0.00,다큐멘터리,정성일,임권택
61,더 컨덕터,8.86,드라마,마리아 피터스,"크리스탄 드 브루인,벤자민 웨인라이트"
62,수퍼 디스코,9.47,다큐멘터리,이주호,"나잠 수,JJ핫산,김간지,지,홍기,고건혁"
63,더하우스,6.62,"공포,미스터리,스릴러",박균이,"오창석,서우"
64,오피셜 시크릿,9.38,"드라마,스릴러",개빈 후드,"키이라 나이틀리,랄프 파인즈,맷 스미스"
65,접속,8.71,"멜로/로맨스,드라마",장윤현,"한석규,전도연"
66,더 킹: 헨리 5세,8.54,드라마,데이비드 미쇼,"티모시 샬라메,조엘 에저튼"
67,북간도의 십자가,7.70,다큐멘터리,반태경,"문성근,문동환,심용환"
68,기생충,8.47,드라마,봉준호,"송강호,이선균,조여정,최우식,박소담,이정은,장혜진"
69,행동하는 양심 김대중,3.12,다큐멘터리,신상민,이금희
70,무뢰한,7.83,"멜로/로맨스,드라마",오승욱,"전도연,김남길,박성웅"
71,해피 엔드,8.27,스릴러,정지우,"최민식,전도연,주진모"
72,본 투 드라이브,0.00,다큐멘터리,다니엘 파레,"올리버 솔베르그,파닐라 솔베르그,피터 솔베르그"
73,시빌,7.70,드라마,저스틴 트리엣,"버지니아 에피라,아델 에그자르코풀로스"
74,주전장,9.49,다큐멘터리,미키 데자키,
75,영하의 바람,8.70,드라마,김유리,"권한솔,옥수분,신동미,박종환"
76,네루다,7.50,드라마,파블로 라라인,"가엘 가르시아 베르날,루이스 그네코,메르세데스 모란"
77,그날은 오리라,0.00,드라마,허안화,"저우쉰,곽건화,펑위옌"
78,어멍,10.00,,고훈,"문희경,연준"
79,레토,8.40,드라마,키릴 세레브렌니코프,"유태오,로만 빌릭,이리나 스타르셴바움"
80,허슬러,6.94,"범죄,드라마",로렌 스카파리아,"제니퍼 로페즈,콘스탄스 우,릴리 라인하트,줄리아 스타일스,케케 파머,리쪼,카디 비"
81,류이치 사카모토: 코다,8.91,다큐멘터리,스티븐 쉬블,류이치 사카모토
82,부에나 비스타 소셜 클럽,8.77,다큐멘터리,빔 벤더스,"콤파이 세군도,이브라임 페레르,오마라 포르투온도,엘리아데스 오초와"
83,서칭 포 슈가맨,9.00,다큐멘터리,말릭 벤젤룰,"말릭 벤젤룰,로드리게즈"
84,얼굴없는 보스,3.37,"느와르,드라마",송창용,"천정명,진이한,이하율,곽희성,이시아,김도훈,이지훈"
85,엔젤 해즈 폴른,8.46,"액션,스릴러",릭 로먼 워,"제라드 버틀러,모건 프리먼"
86,겁쟁이 페달: 더 무비,8.97,애니메이션,나가누마 노리히로,"야마시타 다이키,토리우미 코스케,후쿠시마 준,야스모토 히로키,모리쿠보 쇼타로,이토 켄타로"
87,겁쟁이 페달: 리라이드,9.46,애니메이션,나베시마 오사무,"야마시타 다이키,토리우미 코스케,후쿠시마 준,야스모토 히로키,모리쿠보 쇼타로,이토 켄타로"
88,겁쟁이 페달: 리로드,8.93,애니메이션,나베시마 오사무,"야마시타 다이키,토리우미 코스케,후쿠시마 준,야스모토 히로키,모리쿠보 쇼타로,이토 켄타로"
89,겁쟁이 페달: 스페어바이크,8.65,애니메이션,나베시마 오사무,"모리쿠보 쇼타로,카키하라 테츠야,스와베 쥰이치,야스모토 히로키,이토 켄타로,사카구치 다이스케,이세 마리야"
90,기적,8.47,드라마,어빙 래퍼,"캐럴 베이커,로저 무어"
91,메리 포핀스,9.24,"가족,코미디,뮤지컬,판타지",로버트 스티븐슨,"줄리 앤드류스,딕 반 다이크,데이비드 톰린슨"
92,미드나잇 인 파리,8.55,"코미디,멜로/로맨스,판타지",우디 앨런,"오웬 윌슨,마리옹 꼬띠아르,레이첼 맥아담스,애드리언 브로디,카를라 브루니,캐시 베이츠,마이클 쉰"
93,버블 패밀리,9.56,"다큐멘터리,가족",마민지,"노해숙,마풍락,마민지"
94,부러진 창,7.00,"모험,서부",에드워드 드미트릭,"스펜서 트레이시,로버트 와그너"
95,비틀즈: 하드 데이즈 나이트,8.67,"코미디,뮤지컬",리처드 레스터,"존 레논,폴 매카트니,조지 해리슨,링고 스타"
96,사랑을 합시다,7.00,"코미디,뮤지컬,멜로/로맨스",조지 큐커,"마릴린 먼로,이브 몽땅"
97,설리반의 여행,8.57,"코미디,모험,멜로/로맨스",프레스턴 스터지스,"조엘 맥크리어,베로니카 레이크,로버트 워윅"
98,슈퍼소닉,9.24,다큐멘터리,맷 화이트크로스,"노엘 갤러거,리암 갤러거"
99,심판,8.97,"드라마,범죄",파티 아킨,다이앤 크루거
100,아비정전,8.48,"드라마,범죄,멜로/로맨스",왕가위,"장국영,장만옥,유덕화"
101,어떤 하루,7.77,드라마,"정가영,전선호,최진혁","최수인,김영서"
102,재혼의 기술,7.29,"멜로/로맨스,코미디",조성규,"임원희,김강현,박해빛나"
103,지구 최후의 밤,7.57,"드라마,미스터리",비간,"탕웨이,황각"
104,지금 이순간,0.00,드라마,이수성,"이원준,송민경"
105,차타레 부인의 사랑,6.76,"드라마,멜로/로맨스",쥬스트 쟈킨,실비아 크리스텔
106,천지창조,7.64,,존 휴스턴,"마이클 팍스,리처드 해리스"
107,캐롤,8.57,"드라마,멜로/로맨스",토드 헤인즈,"케이트 블란쳇,루니 마라,카일 챈들러"
108,쿵푸 허슬,8.62,"코미디,액션",주성치,주성치
109,포레스트 검프,9.39,"드라마,코미디",로버트 저메키스,톰 행크스
110,멋진 하루,8.17,"드라마,멜로/로맨스",이윤기,"전도연,하정우"
111,미스 사이공: 25주년 특별 공연,9.20,공연실황,브렛 설리반,"알리스태어 브래머,에바 노블자다,홍광호,존 존 브라이언스"
112,밀양,7.87,드라마,이창동,"전도연,송강호"
